Уникальные банки
Традо-Банк лицензия НОМЕР 1065, Москва и обл.
Национальный Банк Сбережений лицензия НОМЕР 1949, Ивановская обл.
Богородский Муниципальный Банк лицензия НОМЕР 2992, Москва и обл.
Расчетно-Кредитный Банк лицензия НОМЕР 103, Москва и обл.
Александровский лицензия НОМЕР 53, Санкт-Петербург и обл.
Первый Клиентский Банк лицензия НОМЕР 3436, Москва и обл.
Региональный Кредитный Банк лицензия НОМЕР 1608, Калининградская обл.
Европейский Индустриальный Банк лицензия НОМЕР 2503, Москва и обл.
Европейский Экспресс лицензия НОМЕР 3449, Москва и обл.
Росбанк лицензия НОМЕР 2272, Москва и обл.
Акция лицензия НОМЕР 927, Ивановская обл.
Расчетные Решения лицензия НОМЕР 3524, Москва и обл.
ВТБ лицензия НОМЕР 1000, Санкт-Петербург и обл.
Новый Век лицензия НОМЕР 3417, Москва и обл.
Евросиб Банк лицензия НОМЕР 594, Санкт-Петербург и обл.
Сибирьгазбанк лицензия НОМЕР 3042, Тюменская обл.
Юг-Инвестбанк лицензия НОМЕР 2772, Краснодарский край
Бинбанк Смоленск лицензия НОМЕР 1957, Смоленская обл.
Рост лицензия НОМЕР 2589, Москва и обл.
Михайловский ПЖСБ лицензия НОМЕР 2961, Волгоградская обл.
Зеленокумская лицензия НОМЕР 1239, Ставропольский край
ОФК Банк лицензия НОМЕР 2270, Москва и обл.
Солидарность (Москва) лицензия НОМЕР 1555, Москва и обл.
Женская Микрофинансовая Cеть лицензия НОМЕР 3458, Москва и обл.
Содружество лицензия НОМЕР 2923, Москва и обл.
Мобилбанк лицензия НОМЕР 532, Удмуртия
Национальный Банк «Траст» лицензия НОМЕР 3279, Москва и обл.
Московский Индустриальный Банк лицензия НОМЕР 912, Москва и обл.
Пробизнесбанк лицензия НОМЕР 2412, Москва и обл.
Банк Торгового Финансирования лицензия НОМЕР 1982, Москва и обл.
Трастовый Республиканский Банк лицензия НОМЕР 3404, Москва и обл.
ИТ Банк лицензия НОМЕР 2609, Омская обл.
Кузнецкий лицензия НОМЕР 609, Пензенская обл.
Сибирский Расчетный Центр лицензия НОМЕР 3308, Новосибирская обл.
Ренессанс лицензия НОМЕР 1939, Москва и обл.
Единственный лицензия НОМЕР 3187, Москва и обл.
Петровский лицензия НОМЕР 729, Санкт-Петербург и обл.
Энергобанк лицензия НОМЕР 67, Татарстан
АМТ Банк лицензия НОМЕР 2820, Москва и обл.
Банк Премьер Кредит лицензия НОМЕР 1663, Коми
Сибсоцбанк лицензия НОМЕР 2015, Алтайский край
Банк на Гончарной (бывш. Япы Креди Банк Москва) лицензия НОМЕР 2555, Москва и обл.
Океан Банк лицензия НОМЕР 1697, Москва и обл.
Северный Народный Банк лицензия НОМЕР 2721, Коми
Вэлкомбанк лицензия НОМЕР 589, Ставропольский край
Конфидэнс Банк лицензия НОМЕР 970, Костромская обл.
Банк Инноваций и Развития лицензия НОМЕР 2647, Москва и обл.
Банк Интеза лицензия НОМЕР 2216, Москва и обл.
Запсибкомбанк лицензия НОМЕР 918, Тюменская обл.
Российский Кредит лицензия НОМЕР 324, Москва и обл.
Паритет лицензия НОМЕР 1860, Москва и обл.
БНП Париба Банк лицензия НОМЕР 3407, Москва и обл.
Русский Торговый Банк лицензия НОМЕР 2842, Москва и обл.
Легион лицензия НОМЕР 3117, Москва и обл.
Тендер-Банк лицензия НОМЕР 2252, Москва и обл.
С-Банк лицензия НОМЕР 1857, Удмуртия
Рост Банк лицензия НОМЕР 2888, Татарстан
Пушкино лицензия НОМЕР 391, Москва и обл.
Континент Финанс лицензия НОМЕР 149, Калужская обл.
Столичный Торговый Банк лицензия НОМЕР 2797, Москва и обл.
Ассигнация лицензия НОМЕР 865, Ставропольский край
Аксонбанк лицензия НОМЕР 680, Костромская обл.
Экспресс-Кредит лицензия НОМЕР 210, Москва и обл.
Аскания Траст лицензия НОМЕР 286, Москва и обл.
Уралпромбанк лицензия НОМЕР 2964, Челябинская обл.
Приобье лицензия НОМЕР 537, Тюменская обл.
Экспресс-Волга лицензия НОМЕР 3085, Костромская обл.
Ижкомбанк лицензия НОМЕР 646, Удмуртия
Сибирский Банк Реконструкции и Развития лицензия НОМЕР 1284, Тюменская обл.
Донхлеббанк лицензия НОМЕР 2285, Ростовская обл.
Банк «ФК Открытие» лицензия НОМЕР 2209, Москва и обл.
Русский Финансовый Альянс лицензия НОМЕР 2035, Москва и обл.
Интерпрогрессбанк лицензия НОМЕР 600, Москва и обл.
Майкопбанк лицензия НОМЕР 1136, Адыгея
НОКССбанк лицензия НОМЕР 3202, Волгоградская обл.
Акцент лицензия НОМЕР 696, Оренбургская обл.
Евросиб Банк лицензия НОМЕР 594, Псковская обл.
Фининвест лицензия НОМЕР 671, Москва и обл.
Инстройбанк лицензия НОМЕР 2743, Москва и обл.
Санкт-Петербургский Банк Инвестиций лицензия НОМЕР 3468, Санкт-Петербург и обл.
Банк24.ру лицензия НОМЕР 2227, Свердловская обл.
Национальный Торговый Банк лицензия НОМЕР 3087, Самарская обл.
Татсоцбанк лицензия НОМЕР 480, Татарстан
Новосибирский Муниципальный Банк лицензия НОМЕР 2786, Новосибирская обл.
Мико-Банк лицензия НОМЕР 3195, Москва и обл.
Камчатпромбанк лицензия НОМЕР 1194, Камчатская обл.
ФДБ лицензия НОМЕР 3071, Москва и обл.
Радиан лицензия НОМЕР 1675, Иркутская обл.
Кредит Экспресс лицензия НОМЕР 3186, Ростовская обл.
Эл Банк лицензия НОМЕР 1025, Самарская обл.
Тексбанк лицензия НОМЕР 2756, Карачаево-Черкесия
Потенциал лицензия НОМЕР 1019, Самарская обл.
Альтернатива лицензия НОМЕР 3452, Москва и обл.
Металлург лицензия НОМЕР 2877, Москва и обл.
Первый Республиканский Банк лицензия НОМЕР 1730, Москва и обл.
Еврофинанс Моснарбанк лицензия НОМЕР 2402, Москва и обл.
Милбанк лицензия НОМЕР 3256, Москва и обл.
Евразийский Банк лицензия НОМЕР 969, Москва и обл.
Трастовый Банк лицензия НОМЕР 2780, Дагестан
Банк Уралсиб лицензия НОМЕР 2275, Москва и обл.
Холдинг-Кредит лицензия НОМЕР 3030, Москва и обл.
Нордеа Банк лицензия НОМЕР 3016, Москва и обл.
Финпромбанк (ФПБ Банк) лицензия НОМЕР 2157, Москва и обл.
Кредит Урал Банк лицензия НОМЕР 2584, Челябинская обл.
Умут лицензия НОМЕР 2435, Дагестан
Ганзакомбанк лицензия НОМЕР 1734, Санкт-Петербург и обл.
Регион лицензия НОМЕР 233, Ярославская обл.
Сургутнефтегазбанк лицензия НОМЕР 588, Ханты-Мансийский АО — Югра
Инкахран лицензия НОМЕР 3454, Москва и обл.
Росэнергобанк лицензия НОМЕР 2211, Москва и обл.
Невский Банк лицензия НОМЕР 1068, Санкт-Петербург и обл.
Тарханы лицензия НОМЕР 459, Пензенская обл.
Белгородпромстройбанк лицензия НОМЕР 1816, Белгородская обл.
Трансэнергобанк лицензия НОМЕР 3106, Дагестан
Международный Финансовый Клуб лицензия НОМЕР 2618, Москва и обл.
Си Ди Би Банк лицензия НОМЕР 3339, Краснодарский край
Майский лицензия НОМЕР 1673, Кабардино-Балкария
Жилкредит лицензия НОМЕР 1736, Москва и обл.
Спиритбанк лицензия НОМЕР 2053, Тульская обл.
РТС-Банк лицензия НОМЕР 3401, Самарская обл.
Оренбург лицензия НОМЕР 3269, Оренбургская обл.
Тихоокеанский Внешторгбанк лицензия НОМЕР 1378, Сахалинская обл.
Союзпромбанк лицензия НОМЕР 2965, Москва и обл.
Америкэн Экспресс Банк лицензия НОМЕР 3460, Москва и обл.
Вологжанин лицензия НОМЕР 1896, Вологодская обл.
Национальная Факторинговая Компания лицензия НОМЕР 3437, Москва и обл.
Юнистрим лицензия НОМЕР 3467, Москва и обл.
Азия-Инвест Банк лицензия НОМЕР 3303, Москва и обл.
Рунэтбанк лицензия НОМЕР 2829, Москва и обл.
Расчетная Палата СВМБ лицензия НОМЕР 3324, Самарская обл.
Банк Развития Технологий лицензия НОМЕР 3441, Москва и обл.
Кредит Европа Банк лицензия НОМЕР 3311, Москва и обл.
Природа лицензия НОМЕР 3399, Москва и обл.
Современные Стандарты Бизнеса лицензия НОМЕР 3397, Москва и обл.
Темпбанк лицензия НОМЕР 55, Москва и обл.
ЦентроКредит лицензия НОМЕР 121, Москва и обл.
Акрополь лицензия НОМЕР 3027, Москва и обл.
Кредитбанк лицензия НОМЕР 1035, Калмыкия
Дагестан лицензия НОМЕР 543, Дагестан
Национальный Банк Развития Бизнеса лицензия НОМЕР 2795, Москва и обл.
Городской Расчетный Центр лицензия НОМЕР 3346, Курганская обл.
Одинбанк лицензия НОМЕР 3197, Москва и обл.
Северстройбанк лицензия НОМЕР 3507, Вологодская обл.
Балтийский Банк лицензия НОМЕР 128, Москва и обл.
Кузнецкбизнесбанк лицензия НОМЕР 1158, Кемеровская обл.
Кедр лицензия НОМЕР 1574, Красноярский край
Идея Банк лицензия НОМЕР 430, Краснодарский край
Расчетный Дом лицензия НОМЕР 3350, Москва и обл.
Икано Банк лицензия НОМЕР 3519, Центр
Крыловский лицензия НОМЕР 456, Краснодарский край
Агророс лицензия НОМЕР 2860, Саратовская обл.
Консервативный Коммерческий Банк лицензия НОМЕР 1087, Астраханская обл.
Форштадт лицензия НОМЕР 2208, Оренбургская обл.
Платина лицензия НОМЕР 2347, Москва и обл.
Ауэрбанк лицензия НОМЕР 3105, Москва и обл.
Национальный Стандарт лицензия НОМЕР 3421, Москва и обл.
Международный Банк Развития лицензия НОМЕР 2704, Москва и обл.
Плато-Банк лицензия НОМЕР 2071, Свердловская обл.
Дом-Банк лицензия НОМЕР 3209, Москва и обл.
Жилстройбанк лицензия НОМЕР 2769, Москва и обл.
Кредитинвест лицензия НОМЕР 1197, Дагестан
Мобильная карта лицензия НОМЕР 3522, Санкт-Петербург и обл.
Ваш Личный Банк лицензия НОМЕР 1222, Иркутская обл.
Нацинвестпромбанк лицензия НОМЕР 3077, Москва и обл.
ЦМРБанк лицензия НОМЕР 3531, Москва и обл.
Далетбанк лицензия НОМЕР 3049, Москва и обл.
Урал ФД лицензия НОМЕР 249, Пермская обл.
Банк БЦК-Москва лицензия НОМЕР 3480, Москва и обл.
Ермак лицензия НОМЕР 1809, Ханты-Мансийский АО — Югра
Возрождение лицензия НОМЕР 1439, Москва и обл.
Липецкий Областной Банк лицензия НОМЕР 1794, Липецкая обл.
Таатта лицензия НОМЕР 1249, Саха (Якутия)
Евромет лицензия НОМЕР 2902, Москва и обл.
НС Банк лицензия НОМЕР 3124, Москва и обл.
Финтрастбанк лицензия НОМЕР 3104, Москва и обл.
Сервис-Резерв лицензия НОМЕР 2034, Москва и обл.
Солидарность (Самара) лицензия НОМЕР 554, Самарская обл.
Банк Сберегательно-кредитного сервиса лицензия НОМЕР 3224, Москва и обл.
Метрополь лицензия НОМЕР 1639, Москва и обл.
Нейва лицензия НОМЕР 1293, Свердловская обл.
Классик Эконом Банк лицензия НОМЕР 3298, Северная Осетия — Алания
Унифин лицензия НОМЕР 2654, Москва и обл.
КОР лицензия НОМЕР 2148, Волгоградская обл.
Неополис-Банк лицензия НОМЕР 2809, Москва и обл.
Народный Банк лицензия НОМЕР 2249, Карачаево-Черкесия
Международный Промышленный Банк лицензия НОМЕР 2056, Москва и обл.
Имбанк лицензия НОМЕР 2098, Дагестан
Рента-Банк лицензия НОМЕР 3095, Москва и обл.
УМ-Банк лицензия НОМЕР 1441, Москва и обл.
Ростпромстройбанк лицензия НОМЕР 1705, Ростовская обл.
Нэклис-Банк лицензия НОМЕР 1671, Москва и обл.
Вакобанк лицензия НОМЕР 1291, Псковская обл.
АйМаниБанк лицензия НОМЕР 1975, Москва и обл.
ФФин Банк лицензия НОМЕР 1143, Москва и обл.
Региональный Банк Сбережений лицензия НОМЕР 3367, Москва и обл.
Сибэс лицензия НОМЕР 208, Омская обл.
Навигатор лицензия НОМЕР 2469, Москва и обл.
Финчер лицензия НОМЕР 3486, Москва и обл.
Рабобанк лицензия НОМЕР 3488, Москва и обл.
Банк Долгосрочного Кредитования лицензия НОМЕР 3391, Москва и обл.
Банк Расчетов и Сбережений лицензия НОМЕР 2617, Москва и обл.
Кошелев-Банк лицензия НОМЕР 3300, Нижегородская обл.
Центральная Расчетная Палата лицензия НОМЕР 3313, Москва и обл.
Первый Дортрансбанк лицензия НОМЕР 3271, Кировская обл.
Русский Трастовый Банк лицензия НОМЕР 1139, Москва и обл.
Камчатка лицензия НОМЕР 2966, Камчатская обл.
Саровбизнесбанк лицензия НОМЕР 2048, Нижегородская обл.
Ю Би Эс Банк лицензия НОМЕР 3463, Москва и обл.
Аресбанк лицензия НОМЕР 2914, Москва и обл.
Современный Коммерческий Банк (бывш. ДжиИ Мани Банк) лицензия НОМЕР 3316, Москва и обл.
Юниаструм Банк лицензия НОМЕР 2771, Москва и обл.
Мосводоканалбанк лицензия НОМЕР 2863, Москва и обл.
Алемар лицензия НОМЕР 2384, Новосибирская обл.
Кошелев-Банк лицензия НОМЕР 3300, Самарская обл.
Соверен Банк лицензия НОМЕР 3206, Татарстан
Развитие-Столица лицензия НОМЕР 3013, Москва и обл.
Ханты-Мансийский банк Открытие лицензия НОМЕР 1971, Тюменская обл.
Донбанк лицензия НОМЕР 2984, Ростовская обл.
Банк Город лицензия НОМЕР 2644, Коми
Западный лицензия НОМЕР 2598, Москва и обл.
Актив Банк лицензия НОМЕР 2529, Мордовия
Континенталь лицензия НОМЕР 3184, Ставропольский край
Спецстройбанк лицензия НОМЕР 236, Москва и обл.
Проинвестбанк лицензия НОМЕР 784, Пермская обл.
Банк БФТ лицензия НОМЕР 2273, Москва и обл.
Росгосстрах Банк лицензия НОМЕР 3073, Москва и обл.
Тагилбанк лицензия НОМЕР 1635, Свердловская обл.
Челябинвестбанк лицензия НОМЕР 493, Челябинская обл.
Дальний Восток лицензия НОМЕР 3318, Приморский край
Данске Банк лицензия НОМЕР 3307, Санкт-Петербург и обл.
Метробанк лицензия НОМЕР 2548, Москва и обл.
Тетраполис лицензия НОМЕР 1586, Санкт-Петербург и обл.
РБА лицензия НОМЕР 3413, Ярославская обл.
Меткомбанк (Череповец) лицензия НОМЕР 901, Вологодская обл.
Прокоммерцбанк лицензия НОМЕР 2996, Москва и обл.
Мой Банк. Ипотека лицензия НОМЕР 2436, Башкортостан
Экспо Финанс лицензия НОМЕР 2594, Москва и обл.
Кольцо Урала лицензия НОМЕР 65, Свердловская обл.
Финанс Бизнес Банк лицензия НОМЕР 520, Краснодарский край
Мираф-Банк лицензия НОМЕР 2244, Омская обл.
Бинбанк лицензия НОМЕР 323, Москва и обл.
Монетный Дом лицензия НОМЕР 419, Челябинская обл.
ЕвроАксис Банк лицензия НОМЕР 3273, Москва и обл.
Прохладный лицензия НОМЕР 874, Кабардино-Балкария
Россельхозбанк лицензия НОМЕР 3349, Москва и обл.
Евразийский Банк лицензия НОМЕР 969, Забайкальский край
Газбанк лицензия НОМЕР 2316, Самарская обл.
ПЧРБ Банк лицензия НОМЕР 3291, Москва и обл.
Витас Банк лицензия НОМЕР 1955, Москва и обл.
Нижневолжский Коммерческий Банк лицензия НОМЕР 931, Саратовская обл.
Межрегиональный Клиринговый Банк лицензия НОМЕР 2543, Москва и обл.
Заречье лицензия НОМЕР 817, Татарстан
Европейский лицензия НОМЕР 1616, Калининградская обл.
Коммерцбанк (Евразия) лицензия НОМЕР 3333, Москва и обл.
Сибирский Энергетический Банк лицензия НОМЕР 2604, Москва и обл.
РУБанк лицензия НОМЕР 2813, Москва и обл.
Интехбанк лицензия НОМЕР 2705, Татарстан
Русь лицензия НОМЕР 704, Оренбургская обл.
Инвестбанк лицензия НОМЕР 107, Калининградская обл.
Зернобанк лицензия НОМЕР 2337, Алтайский край
Старооскольский Агропромбанк лицензия НОМЕР 1050, Белгородская обл.
Канский лицензия НОМЕР 860, Красноярский край
Принтбанк лицензия НОМЕР 546, Москва и обл.
Народный Кредит лицензия НОМЕР 2401, Москва и обл.
Баренцбанк лицензия НОМЕР 2188, Мурманская обл.
ФФин Банк лицензия НОМЕР 1143, Сахалинская обл.
Внешпромбанк лицензия НОМЕР 3261, Москва и обл.
Вестинтербанк лицензия НОМЕР 3398, Москва и обл.
Русский Стандарт лицензия НОМЕР 2289, Москва и обл.
Региональный Банк Развития лицензия НОМЕР 2782, Башкортостан
Эллипс Банк лицензия НОМЕР 1950, Нижегородская обл.
Евроазиатский Инвестиционный Банк лицензия НОМЕР 2897, Москва и обл.
Чайнасельхозбанк лицензия НОМЕР 3529, Москва и обл.
Креди Агриколь КИБ лицензия НОМЕР 1680, Санкт-Петербург и обл.
Финансово-Промышленный Капитал лицензия НОМЕР 3295, Москва и обл.
Промрегионбанк лицензия НОМЕР 2123, Москва и обл.
Стройиндбанк лицензия НОМЕР 155, Москва и обл.
КЭБ ЭйчЭнБи Банк лицензия НОМЕР 3525, Москва и обл.
Промсвязьбанк лицензия НОМЕР 3251, Москва и обл.
Уральский Банк Реконструкции и Развития лицензия НОМЕР 429, Свердловская обл.
Флора-Москва лицензия НОМЕР 533, Москва и обл.
Строительно-Коммерческий Банк лицензия НОМЕР 3050, Архангельская обл.
Фондсервисбанк лицензия НОМЕР 2989, Москва и обл.
Риабанк лицензия НОМЕР 3434, Москва и обл.
Тувакредит лицензия НОМЕР 1202, Тыва
ФИА-Банк лицензия НОМЕР 2542, Самарская обл.
Совинком лицензия НОМЕР 2302, Москва и обл.
Альфа-Банк лицензия НОМЕР 1326, Москва и обл.
Костромаселькомбанк лицензия НОМЕР 1115, Костромская обл.
РосЕвроБанк лицензия НОМЕР 3137, Москва и обл.
Банк Премьер Кредит лицензия НОМЕР 1663, Москва и обл.
Альба Альянс лицензия НОМЕР 2593, Москва и обл.
Кранбанк лицензия НОМЕР 2271, Ивановская обл.
Русский Национальный Банк лицензия НОМЕР 469, Ростовская обл.
ЕАТП Банк лицензия НОМЕР 1765, Астраханская обл.
Тойота Банк лицензия НОМЕР 3470, Москва и обл.
Тамбовкредитпромбанк лицензия НОМЕР 1312, Тамбовская обл.
Майма лицензия НОМЕР 1037, Москва и обл.
Инвест-Экобанк лицензия НОМЕР 1956, Санкт-Петербург и обл.
Волжский Социальный Банк лицензия НОМЕР 2428, Самарская обл.
Прио-Внешторгбанк лицензия НОМЕР 212, Рязанская обл.
Инкредбанк лицензия НОМЕР 3405, Москва и обл.
Деньги.Мэйл.Ру лицензия НОМЕР 3511, Москва и обл.
Региональный Корпоративный Банк лицензия НОМЕР 1134, Ивановская обл.
Росбизнесбанк лицензия НОМЕР 1405, Москва и обл.
Бинбанк Сургут лицензия НОМЕР 1701, Ханты-Мансийский АО — Югра
Белгородсоцбанк лицензия НОМЕР 760, Белгородская обл.
Сириус лицензия НОМЕР 3506, Омская обл.
Сунжа лицензия НОМЕР 2023, Ингушетия
Клиентский лицензия НОМЕР 2324, Москва и обл.
Объединенный Банк Республики лицензия НОМЕР 1016, Чувашия
Бинбанк Сургут лицензия НОМЕР 1701, Тюменская обл.
АйМаниБанк лицензия НОМЕР 1975, Республика Алтай
Удмуртский Пенсионный Банк лицензия НОМЕР 1764, Удмуртия
лицензия НОМЕР ,
Камчаткомагропромбанк лицензия НОМЕР 545, Камчатская обл.
Кубаньторгбанк лицензия НОМЕР 478, Краснодарский край
Таврический лицензия НОМЕР 2304, Санкт-Петербург и обл.
Гагаринский лицензия НОМЕР 606, Москва и обл.
ИстКом-Финанс лицензия НОМЕР 3435, Москва и обл.
Межрегиональный центр микрокредитования лицензия НОМЕР 3489, Воронежская обл.
Севастопольский Морской Банк лицензия НОМЕР 3528, Севастополь
Гута-Банк лицензия НОМЕР 256, Москва и обл.
Лидер лицензия НОМЕР 3304, Москва и обл.
Тройка лицензия НОМЕР 2051, Москва и обл.
Приморье лицензия НОМЕР 3001, Приморский край
Мострансбанк лицензия НОМЕР 2258, Москва и обл.
Златкомбанк лицензия НОМЕР 568, Москва и обл.
Спурт Банк лицензия НОМЕР 2207, Татарстан
Стелла-Банк лицензия НОМЕР 2948, Ростовская обл.
ИНГ Банк лицензия НОМЕР 2495, Москва и обл.
МАК-Банк лицензия НОМЕР 1088, Москва и обл.
Промсельхозбанк лицензия НОМЕР 538, Москва и обл.
Век лицензия НОМЕР 2299, Москва и обл.
Стандарт-Кредит лицензия НОМЕР 841, Адыгея
Вестерн Юнион ДП Восток лицензия НОМЕР 2726, Москва и обл.
Уссури лицензия НОМЕР 596, Хабаровский край
Колыма-Банк лицензия НОМЕР 1076, Магаданская обл.
Выборг-Банк лицензия НОМЕР 720, Санкт-Петербург и обл.
К2 Банк лицензия НОМЕР 2851, Карачаево-Черкесия
Тайдон лицензия НОМЕР 2085, Кемеровская обл.
Росэксимбанк лицензия НОМЕР 2790, Москва и обл.
МФБанк лицензия НОМЕР 3163, Москва и обл.
НСТ-Банк лицензия НОМЕР 1738, Оренбургская обл.
Кредо Финанс лицензия НОМЕР 793, Дагестан
Муниципальный Камчатпрофитбанк лицензия НОМЕР 2103, Камчатская обл.
Инбанк лицензия НОМЕР 1829, Москва и обл.
Солид Банк лицензия НОМЕР 1329, Камчатская обл.
Региональный Банк Развития — Московский филиал лицензия НОМЕР 2782, Россия
Витязь лицензия НОМЕР 2890, Москва и обл.
Яндекс.Деньги лицензия НОМЕР 3510, Россия
Капиталбанк лицензия НОМЕР 2547, Ростовская обл.
Современный Коммерческий Инновационный Банк лицензия НОМЕР 3329, Костромская обл.
Углеметбанк лицензия НОМЕР 2997, Челябинская обл.
Мосстройэкономбанк (М Банк) лицензия НОМЕР 948, Москва и обл.
Югра лицензия НОМЕР 880, Ханты-Мансийский АО — Югра
Прайм Финанс лицензия НОМЕР 2758, Санкт-Петербург и обл.
Москва лицензия НОМЕР 1661, Москва и обл.
Финансовый Капитал лицензия НОМЕР 3288, Санкт-Петербург и обл.
КИП-Банк лицензия НОМЕР 2843, Москва и обл.
РН Банк лицензия НОМЕР 170, Омская обл.
Бумеранг лицензия НОМЕР 1002, Вологодская обл.
Финансовые Услуги лицензия НОМЕР 3496, Москва и обл.
Лесбанк лицензия НОМЕР 1598, Москва и обл.
Анталбанк лицензия НОМЕР 3115, Москва и обл.
Алеф-Банк лицензия НОМЕР 2119, Москва и обл.
АФ Банк лицензия НОМЕР 991, Башкортостан
Индустриальный Сберегательный Банк лицензия НОМЕР 3175, Москва и обл.
Онлайн Банк лицензия НОМЕР 2462, Москва и обл.
Торговый Городской Банк лицензия НОМЕР 3180, Тверская обл.
Народный Доверительный Банк лицензия НОМЕР 2374, Москва и обл.
Северо-Западный 1 Альянс Банк лицензия НОМЕР 766, Санкт-Петербург и обл.
Охотный Ряд лицензия НОМЕР 3375, Москва и обл.
ПК-Банк лицензия НОМЕР 2652, Нижегородская обл.
Контраст-Банк лицензия НОМЕР 2857, Москва и обл.
РИТЦ Банк лицензия НОМЕР 2677, Карелия
Банк Казани лицензия НОМЕР 708, Татарстан
Плюс Банк лицензия НОМЕР 1189, Омская обл.
Бэнк оф Чайна лицензия НОМЕР 2309, Москва и обл.
Республиканский Банк лицензия НОМЕР 3277, Москва и обл.
Расчетный Финансовый Дом лицензия НОМЕР 3430, Санкт-Петербург и обл.
Финам Банк лицензия НОМЕР 2799, Москва и обл.
Финарс Банк лицензия НОМЕР 2938, Москва и обл.
НК Банк лицензия НОМЕР 2755, Москва и обл.
Европейский Стандарт лицензия НОМЕР 3200, Москва и обл.
Объединенный Национальный Банк лицензия НОМЕР 2074, Москва и обл.
Русфинанс Банк лицензия НОМЕР 1792, Самарская обл.
Трансстройбанк лицензия НОМЕР 2807, Москва и обл.
Гринфилдбанк лицензия НОМЕР 2711, Москва и обл.
Русич Центр Банк лицензия НОМЕР 2793, Москва и обл.
Живаго-Банк лицензия НОМЕР 2065, Рязанская обл.
Открытие / Инвестиционный банк лицензия НОМЕР 2901, Москва и обл.
Новокиб лицензия НОМЕР 1747, Кемеровская обл.
Курган лицензия НОМЕР 2568, Курганская обл.
Социум-Банк лицензия НОМЕР 2881, Москва и обл.
Алма Банк лицензия НОМЕР 604, Москва и обл.
Международная Уральская Расчетная Палата лицензия НОМЕР 3322, Москва и обл.
Банк РМП лицензия НОМЕР 2574, Москва и обл.
Межотраслевая Банковская Корпорация лицензия НОМЕР 3471, Москва и обл.
Мидзухо Банк лицензия НОМЕР 3337, Москва и обл.
Инвестиционный Союз лицензия НОМЕР 637, Москва и обл.
Ресурс-Траст лицензия НОМЕР 3122, Москва и обл.
Тимер Банк лицензия НОМЕР 1581, Татарстан
ГПБ-Ипотека лицензия НОМЕР 2403, Москва и обл.
ПИР Банк лицензия НОМЕР 2655, Москва и обл.
Электронный платежный сервис лицензия НОМЕР 3509, Москва и обл.
НБК-Банк лицензия НОМЕР 3283, Москва и обл.
Новокузнецкий Муниципальный Банк лицензия НОМЕР 2865, Кемеровская обл.
Гранд Инвест Банк лицензия НОМЕР 3053, Москва и обл.
РФИ Банк лицензия НОМЕР 3351, Москва и обл.
Р-Инкас лицензия НОМЕР 3536, Москва и обл.
Мерседес-Бенц Банк Рус лицензия НОМЕР 3473, Москва и обл.
Натиксис Банк лицензия НОМЕР 3390, Москва и обл.
Строительно-Коммерческий Банк лицензия НОМЕР 3050, Санкт-Петербург и обл.
Сургутский Центральный Коммерческий Банк лицензия НОМЕР 684, Ханты-Мансийский АО — Югра
Балтсоцкомбанк лицензия НОМЕР 2545, Калининградская обл.
Межтопэнергобанк лицензия НОМЕР 2956, Москва и обл.
БыстроБанк лицензия НОМЕР 1745, Удмуртия
Азимут лицензия НОМЕР 3154, Москва и обл.
Кредит-Москва лицензия НОМЕР 5, Москва и обл.
Межбанковский Кредитный Союз лицензия НОМЕР 3242, Москва и обл.
Интеркапитал-Банк лицензия НОМЕР 2706, Мордовия
МГБ лицензия НОМЕР 2866, Дагестан
Россия лицензия НОМЕР 328, Санкт-Петербург и обл.
Нефтепромбанк лицензия НОМЕР 2156, Москва и обл.
Почтобанк лицензия НОМЕР 1788, Пермская обл.
Транскредитбанк лицензия НОМЕР 2142, Москва и обл.
Кузнецкий Мост лицензия НОМЕР 2254, Москва и обл.
Кузбассхимбанк лицензия НОМЕР 2868, Кемеровская обл.
Иваново лицензия НОМЕР 1763, Ивановская обл.
Региональный Коммерческий Банк лицензия НОМЕР 836, Ульяновская обл.
Фора-Банк лицензия НОМЕР 1885, Москва и обл.
Свенска Хандельсбанкен лицензия НОМЕР 3455, Москва и обл.
Зираат Банк лицензия НОМЕР 2559, Москва и обл.
Волгопромбанк лицензия НОМЕР 701, Волгоградская обл.
Курскпромбанк лицензия НОМЕР 735, Курская обл.
Ставропольпромстройбанк лицензия НОМЕР 1288, Ставропольский край
Земкомбанк лицензия НОМЕР 574, Ростовская обл.
Уралкапиталбанк лицензия НОМЕР 2519, Башкортостан
Славянский Кредит лицензия НОМЕР 2960, Москва и обл.
Центрально-Европейский Банк лицензия НОМЕР 2670, Забайкальский край
Монета.ру лицензия НОМЕР 3508, Марий Эл
Энтузиастбанк лицензия НОМЕР 3048, Москва и обл.
Торговый Городской Банк лицензия НОМЕР 3180, Москва и обл.
Геленджик-Банк лицензия НОМЕР 790, Краснодарский край
Банк «Открытие» лицензия НОМЕР 2179, Москва и обл.
Камабанк лицензия НОМЕР 803, Пермская обл.
Национальный Клиринговый Центр лицензия НОМЕР 3466, Москва и обл.
Интеркоммерц Банк лицензия НОМЕР 1657, Москва и обл.
Единая Расчетная Палата лицензия НОМЕР 384, Москва и обл.
Ассоциация лицензия НОМЕР 732, Нижегородская обл.
Башкомснаббанк лицензия НОМЕР 1398, Башкортостан
Нота-Банк лицензия НОМЕР 2913, Москва и обл.
НОМОС-Банк-Сибирь лицензия НОМЕР 410, Новосибирская обл.
